Year,Org_Type,ONS_Code,Org_Code,Org_Name,Classification,Metric_Primary,Value
2014,LocalAuthority,E08000033,210,Calderdale Metropolitan Borough Council                                                             ,FAE_Primary_Obesity,All persons,46
2014,LocalAuthority,E08000032,209,City of Bradford Metropolitan District Council                                                      ,FAE_Primary_Obesity,All persons,77
2014,LocalAuthority,E08000031,412,Wolverhampton City Council                                                                          ,FAE_Primary_Obesity,All persons,38
2014,LocalAuthority,E08000030,411,Walsall Metropolitan Borough Council                                                                ,FAE_Primary_Obesity,All persons,27
2014,LocalAuthority,E08000029,410,Solihull Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,20
2014,LocalAuthority,E08000028,409,Sandwell Metropolitan Borough Council,FAE_Primary_Obesity,All persons,60
2014,LocalAuthority,E08000027,408,Dudley Metropolitan Borough Council                                                                 ,FAE_Primary_Obesity,All persons,32
2014,LocalAuthority,E08000026,407,Coventry City Council                                                                               ,FAE_Primary_Obesity,All persons,34
2014,LocalAuthority,E08000025,406,Birmingham City Council                                                                             ,FAE_Primary_Obesity,All persons,157
2014,LocalAuthority,E08000024,110,Sunderland City Council                                                                             ,FAE_Primary_Obesity,All persons,341
2014,LocalAuthority,E08000023,109,South Tyneside Metropolitan Borough Council                                                         ,FAE_Primary_Obesity,All persons,153
2014,LocalAuthority,E08000022,108,North Tyneside Council                                                                              ,FAE_Primary_Obesity,All persons,79
2014,LocalAuthority,E08000021,107,Newcastle-upon-Tyne City Council                                                          ,FAE_Primary_Obesity,All persons,79
2014,LocalAuthority,E08000019,207,Sheffield City Council                                                                              ,FAE_Primary_Obesity,All persons,72
2014,LocalAuthority,E08000018,206,Rotherham Metropolitan Borough Council                                                              ,FAE_Primary_Obesity,All persons,16
2014,LocalAuthority,E08000017,205,Doncaster Council                                                                                   ,FAE_Primary_Obesity,All persons,64
2014,LocalAuthority,E08000016,204,Barnsley Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,31
2014,LocalAuthority,E08000015,319,Wirral Metropolitan Borough Council                                                                 ,FAE_Primary_Obesity,All persons,23
2014,LocalAuthority,E08000014,317,Sefton Council                                                                                      ,FAE_Primary_Obesity,All persons,30
2014,LocalAuthority,E08000013,318,St Helens Metropolitan Borough Council                                                              ,FAE_Primary_Obesity,All persons,32
2014,LocalAuthority,E08000012,316,Liverpool City Council                                                                              ,FAE_Primary_Obesity,All persons,93
2014,LocalAuthority,E08000011,315,Knowsley Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,33
2014,LocalAuthority,E08000010,313,Wigan Metropolitan Borough Council                                                                  ,FAE_Primary_Obesity,All persons,26
2014,LocalAuthority,E08000009,312,Trafford Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,15
2014,LocalAuthority,E08000008,311,Tameside Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,9
2014,LocalAuthority,E08000007,310,Stockport Metropolitan Borough Council                                                              ,FAE_Primary_Obesity,All persons,20
2014,LocalAuthority,E08000006,309,Salford City Council                                                                                ,FAE_Primary_Obesity,All persons,30
2014,LocalAuthority,E08000005,308,Rochdale Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,31
2014,LocalAuthority,E08000004,307,Oldham Metropolitian Borough Council                                                                ,FAE_Primary_Obesity,All persons,24
2014,LocalAuthority,E08000003,306,Manchester City Council                                                                             ,FAE_Primary_Obesity,All persons,62
2014,LocalAuthority,E08000002,305,Bury Metropolitan Borough Council                                                                   ,FAE_Primary_Obesity,All persons,15
2014,LocalAuthority,E08000001,304,Bolton Metropolitan Borough Council                                                                 ,FAE_Primary_Obesity,All persons,17
2014,LocalAuthority,E06000057,104,Northumberland County Council                                                                       ,FAE_Primary_Obesity,All persons,101
2014,LocalAuthority,E06000056,626,Central Bedfordshire Council                                                                        ,FAE_Primary_Obesity,All persons,29
2014,LocalAuthority,E06000055,625,Bedford Borough Council                                                                             ,FAE_Primary_Obesity,All persons,10
2014,LocalAuthority,E06000054,817,Wiltshire Council                                                                                   ,FAE_Primary_Obesity,All persons,63
2014,LocalAuthority,E06000053,906,The Council of the Isles of Scilly (Unitary)                                                        ,FAE_Primary_Obesity,All persons,0
2014,LocalAuthority,E06000052,902,Cornwall Council                                                                                    ,FAE_Primary_Obesity,All persons,208
2014,LocalAuthority,E06000051,417,Shropshire Council                                                                                  ,FAE_Primary_Obesity,All persons,38
2014,LocalAuthority,E06000050,327,Cheshire West and Chester Council,FAE_Primary_Obesity,All persons,68
2014,LocalAuthority,E06000049,326,Cheshire East Council                                                                               ,FAE_Primary_Obesity,All persons,63
2014,LocalAuthority,E06000047,116,Durham County Council                                                                               ,FAE_Primary_Obesity,All persons,607
2014,LocalAuthority,E06000046,803,Isle of Wight Council                                                                               ,FAE_Primary_Obesity,All persons,18
2014,LocalAuthority,E06000045,814,Southampton City Council (Unitary)                                                                  ,FAE_Primary_Obesity,All persons,63
2014,LocalAuthority,E06000044,813,Portsmouth City Council (Unitary)                                                                   ,FAE_Primary_Obesity,All persons,37
2014,LocalAuthority,E06000043,816,Brighton & Hove City Council (Unitary),FAE_Primary_Obesity,All persons,37
2014,LocalAuthority,E06000042,613,Milton Keynes Council (Unitary)                                                                     ,FAE_Primary_Obesity,All persons,31
2014,LocalAuthority,E06000041,619,Wokingham Borough Council (Unitary)                                                                 ,FAE_Primary_Obesity,All persons,12
2014,LocalAuthority,E06000040,618,Royal Borough of Windsor & Maidenhead (Unitary)                                                     ,FAE_Primary_Obesity,All persons,17
2014,LocalAuthority,E06000039,617,Slough Borough Council (Unitary)                                                                    ,FAE_Primary_Obesity,All persons,10
2014,LocalAuthority,E06000038,616,Reading Borough Council (Unitary)                                                                   ,FAE_Primary_Obesity,All persons,18
2014,LocalAuthority,E06000037,615,West Berkshire District Council (Unitary)                                                           ,FAE_Primary_Obesity,All persons,12
2014,LocalAuthority,E06000036,614,Bracknell Forest Borough Council (Unitary)                                                          ,FAE_Primary_Obesity,All persons,19
2014,LocalAuthority,E06000035,821,Medway Council (Unitary)                                                                            ,FAE_Primary_Obesity,All persons,72
2014,LocalAuthority,E06000034,622,Thurrock Council (Unitary)                                                                          ,FAE_Primary_Obesity,All persons,16
2014,LocalAuthority,E06000033,621,Southend-on-Sea Borough Council (Unitary)                                                           ,FAE_Primary_Obesity,All persons,26
2014,LocalAuthority,E06000032,611,Luton Borough Council (Unitary)                                                                     ,FAE_Primary_Obesity,All persons,28
2014,LocalAuthority,E06000031,624,Peterborough City Council (Unitary)                                                                 ,FAE_Primary_Obesity,All persons,18
2014,LocalAuthority,E06000030,819,Swindon Borough Council (Unitary)                                                                   ,FAE_Primary_Obesity,All persons,19
2014,LocalAuthority,E06000029,811,Borough of Poole Council (Unitary)                                                                  ,FAE_Primary_Obesity,All persons,10
2014,LocalAuthority,E06000028,810,Bournemouth Borough Council (Unitary)                                                               ,FAE_Primary_Obesity,All persons,12
2014,LocalAuthority,E06000027,914,Torbay Council (Unitary)                                                                            ,FAE_Primary_Obesity,All persons,15
2014,LocalAuthority,E06000026,913,Plymouth City Council (Unitary)                                                                     ,FAE_Primary_Obesity,All persons,58
2014,LocalAuthority,E06000025,911,South Gloucestershire Council (Unitary)                                                             ,FAE_Primary_Obesity,All persons,25
2014,LocalAuthority,E06000024,910,North Somerset District Council                                                                     ,FAE_Primary_Obesity,All persons,18
2014,LocalAuthority,E06000023,909,Bristol City Council                                                                                ,FAE_Primary_Obesity,All persons,29
2014,LocalAuthority,E06000022,908,Bath and North East Somerset Council (Unitary)                                                      ,FAE_Primary_Obesity,All persons,16
2014,LocalAuthority,E06000021,414,Stoke-on-Trent City Council (Unitary)                                                               ,FAE_Primary_Obesity,All persons,107
2014,LocalAuthority,E06000020,418,Telford and Wrekin Council (Unitary)                                                                ,FAE_Primary_Obesity,All persons,58
2014,LocalAuthority,E06000019,415,Herefordshire Council                                                                               ,FAE_Primary_Obesity,All persons,12
2014,LocalAuthority,E06000018,512,Nottingham City Council (Unitary)                                                                   ,FAE_Primary_Obesity,All persons,26
2014,LocalAuthority,E06000017,510,Rutland County Council                                                                              ,FAE_Primary_Obesity,All persons,
2014,LocalAuthority,E06000016,509,Leicester City Council (Unitary)                                                                    ,FAE_Primary_Obesity,All persons,17
2014,LocalAuthority,E06000015,507,Derby City Council (Unitary)                                                                        ,FAE_Primary_Obesity,All persons,26
2014,LocalAuthority,E06000014,219,York City Council                                                                                   ,FAE_Primary_Obesity,All persons,29
2014,LocalAuthority,E06000013,217,North Lincolnshire Council (Unitary)                                                                ,FAE_Primary_Obesity,All persons,42
2014,LocalAuthority,E06000012,216,North East Lincolnshire Council (Unitary)                                                           ,FAE_Primary_Obesity,All persons,36
2014,LocalAuthority,E06000011,214,East Riding of Yorkshire Council (Unitary)                                                          ,FAE_Primary_Obesity,All persons,37
2014,LocalAuthority,E06000010,215,Kingston-upon-Hull City Council (Unitary)                                                           ,FAE_Primary_Obesity,All persons,28
2014,LocalAuthority,E06000009,325,Blackpool Borough Council (Unitary)                                                                 ,FAE_Primary_Obesity,All persons,19
2014,LocalAuthority,E06000008,324,Blackburn with Darwen Borough Council (Unitary)                                                     ,FAE_Primary_Obesity,All persons,9
2014,LocalAuthority,E06000007,322,Warrington Borough Council (Unitary)                                                                ,FAE_Primary_Obesity,All persons,16
2014,LocalAuthority,E06000006,321,Halton Borough Council (Unitary)                                                                    ,FAE_Primary_Obesity,All persons,36
2014,LocalAuthority,E06000005,117,Darlington Borough Council (Unitary)                                                                ,FAE_Primary_Obesity,All persons,78
2014,LocalAuthority,E06000004,114,Stockton-on-Tees Borough Council (Unitary)                                                          ,FAE_Primary_Obesity,All persons,164
2014,LocalAuthority,E06000003,113,Redcar & Cleveland Borough Council                                                                  ,FAE_Primary_Obesity,All persons,93
2014,LocalAuthority,E06000002,112,Middlesbrough Council (Unitary)                                                                     ,FAE_Primary_Obesity,All persons,112
2014,LocalAuthority,E06000001,111,Hartlepool Borough Council (Unitary)                                                                ,FAE_Primary_Obesity,All persons,86
